date,title,text,from,link
2025.04.10,이른 무더위에…삼성·LG전자 에어컨 판매량 급증,"올해 예년보다 빠른 무더위가 예고된 가운데 미리 에어컨을 장만하려는 고객 수요로 삼성전자와 LG전자의 에어컨 판매량이 예년보다 크게 늘어난 것으로 집계됐다. 삼성전자는 올해 1분기에 스탠드형과 벽걸이형, 창문형 등 ...",디지털타임스,https://v.daum.net/v/20250410194833420
2025.04.10,‘냉탕 후 열탕’ 코스피 하루만 2400선 회복 … SK하닉·LG엔솔 11%↑,코스피가 미국의 상호관세 유예에 투자심리가 회복되며 6% 넘게 반등했다. 특히 10거래일만에 외국인이 순매수로 전환했다. 한국거래소에 따르면 10일 코스피 종가는 전 거래일 대비 151.36포인트(6.6%) 오른 2 ...,매경이코노미,https://v.daum.net/v/20250410194800405
2025.04.10,"최태원, 대만 TSMC와 회동…HBM 리더십 이어간다",[서울=뉴시스]이인준 기자 = 최태원 SK그룹 회장이 세계 최대 파운드리(반도체 위탁생산) 업체인 대만 TSMC를 찾아 인공지능(AI) 반도체 고대역폭메모리(HBM) 분야 협업을 논의한 것으로 전해졌다. 엔비디아의 ...,뉴시스,https://v.daum.net/v/20250410194055283
2025.04.10,대만 찾은 최태원 회장 TSMC와 AI반도체 논의,"최태원 SK그룹 회장(사진)이 10일 대만을 방문해 반도체 기업 TSMC 관계자 등을 만난 것으로 확인됐다. 트럼프발 관세 리스크로 글로벌 반도체 공급망의 불확실성이 커지는 가운데, 대만은 TSMC 등 핵심 반도체 ...",매일경제,https://v.daum.net/v/20250410193300122
2025.04.10,"증시 뒤흔든 ‘트럼프의 입’…코스피, 매수 사이드카(종합)",- 전날보다 6.60%↑…2400선 회복 - 삼성전자·SK하이닉스 등도 급등 - 한미 협상 과정 변동성 장세 전망 도널드 트럼프 미국 대통령이 세계 주식시장을 리딩하는 모양새다. 트럼프 대통령이 중국을 제외한 다른 ...,국제신문,https://v.daum.net/v/20250410191808779
2025.04.10,관세 유예 안도감에 코스피·코스닥 6% 폭등 마감,"미국 트럼프 행정부가 중국을 뺀 모든 나라에 상호관세를 전격 유예하면서 우리 증시도 폭등했습니다. 코스피는 오늘(10일) 6.6% 오른 2,445.06으로 마감했습니다. 삼성전자가 6.42%, SK하이닉스는 무려 1 ...",YTN,https://v.daum.net/v/20250410191012582
2025.04.10,"삼성전자 노사, 성과급 제도 개선 TF 가동 시작",[아이뉴스24 설재윤 기자] 삼성전자 노사가 성과급 제도 개선 방안을 논의하기 위한 태스크포스(TF) 회의를 개최했다. 10일 업계에 따르면 전국삼성전자노동조합(전삼노)은 전날 경기 기흥캠퍼스 나노파크에서 사측과 성 ...,아이뉴스24,https://v.daum.net/v/20250410190839535
2025.04.10,'관세 유예 안도감'에 날개 단 증시...동반 사이드카 발동,"[앵커] 트럼프 미국 대통령의 기습적인 관세 유예 발표에 투자심리가 회복되면서 주가가 수직 상승했습니다. 코스피와 코스닥 지수가 6% 폭등했고, 장중에 프로그램 매매가 일시 정지되는 '매수 사이드카'가 8개월 만에 ...",YTN,https://v.daum.net/v/20250410184312767
2025.04.10,K-휴머노이드 연합 출범…“2030년까지 1조 이상 투자 기대”,"[이데일리 김형욱 기자] 정부와 대학, 산업계가 로봇 인공지능(AI) 공용모델을 비롯한 휴머노이드 로봇 핵심기술 개발을 위해 뭉쳤다. 정부 연구개발 예산과 민간 투자를 더해 2030년까지 1조원 이상이 투입될 것으로 ...",이데일리,https://v.daum.net/v/20250410184002690
2025.04.10,대만 날아간 최태원…TSMC와 '비공개 회동',최태원 SK그룹 회장(사진)이 곽노정 SK하이닉스 사장과 함께 대만을 찾았다. 하반기 6세대 고대역폭메모리(HBM)인 HBM4 양산을 앞두고 세계 1위 파운드리(반도체 수탁생산) 회사 TSMC와 협력을 강화하기 위한 ...,한국경제,https://v.daum.net/v/20250410183507586
2025.04.10,"대만 출장길 오른 최태원, TSMC 만나나…총수들 연이은 글로벌 행보",최태원 대한상공회의소 회장(SK그룹 회장)이 대만 출장길에 올랐다. 세계적인 기술 패권 경쟁 속에서 파운드리(반도체 위탁생산) 업계 1위 TSMC를 포함한 현지 반도체 기업들과의 회동 여부에 관심이 쏠린다. 10일 ...,아시아경제,https://v.daum.net/v/20250410183143509
2025.04.10,요즘 삼성·LG 매장 가면 ‘이것’부터 구경한다는데...판매량 최대 80%↑,3월 한달 간 삼성전자와 LG전자의 에어컨 판매량이 예년보다 최대 80% 증가한 것으로 집계됐다. 예년보다 빠른 무더위가 예고되자 소비자들이 에어컨 구입을 서둘렀기 때문으로 풀이된다. 10일 관련업계에 따르면 삼성전 ...,매일경제,https://v.daum.net/v/20250410183000426
2025.04.10,HBM으로 판 뒤집은 SK하이닉스…삼성 D램 절대강자 '흔들',"[앵커] SK하이닉스가 삼성전자가 30년 넘게 지켜 온 글로벌 D램 반도체 1위 아성을 넘보고 있습니다. AI 시대 개막과 함께 각광받고 있는 고대역폭 메모리, HBM 기술력을 기반으로 메모리 반도체 시장의 판도를 ...",SBS Biz,https://v.daum.net/v/20250410182125195
2025.04.10,삼성전자 결국…반도체 연구개발직 주 최대 64시간 일한다,삼성전자가 반도체 연구개발(R&D)직 특별연장 근로를 최대 6개월까지 허용하는 정부 지침의 첫 사례가 됐다. 10일 고용노동부 등에 따르면 고용노동부 경기지청은 전날 삼성전자 특별연장 근로 신청을 인가했다. 삼성전자 ...,아시아경제,https://v.daum.net/v/20250410182048164
2025.04.10,"트럼프, 엔비디아 H20 중국 수출 허용 왜?.. 미-중 사이 낀 K반도체","도널드 트럼프 미국 행정부가 인공지능(AI) 칩 선두주자인 엔비디아의 H20 칩 중국 수출 제한 계획을 철회했다. 상호관세 부과 유예 대상에서 중국만 제외하는 등, '오직 중국 때리기'에 혈안인 트럼프 행정부가 중국 ...",중앙일보,https://v.daum.net/v/20250410181743083
2025.04.10,"삼성전자 노사, 성과급 개선 첫 회의…6월까지 개선안 마련",▲ '성과급 TF' 첫 회의를 진행하는 삼성전자 노사 삼성전자 노사가 성과급 제도 개선을 위한 태스크포스(TF) 첫 회의를 개최했습니다. 오늘(10일) 업계에 따르면 삼성전자 내 최대 노조인 전국삼성전자노동조합(전삼 ...,SBS,https://v.daum.net/v/20250410181500002
2025.04.10,코스피 급반등에 SK하이닉스 18만원대 안착(종합)[핫스탁],[서울=뉴시스]주동일 기자 = 증시 회복세의 탄력을 받은 SK하이닉스가 18만원대에 안착했다. 경쟁사인 삼성전자를 제치고 글로벌 D램 시장에서 점유율 1위를 차지하며 실적 개선에 대한 기대도 더해졌다. 10일 한국거 ...,뉴시스,https://v.daum.net/v/20250410181331970
2025.04.10,"삼성전자 연구개발자 64명, 특별연장근로 특례 쓴다",[서울경제] 삼성전자가 반도체 연구개발(R&D)직에 한해 특별연장근로를 더 쓸 수 있는 특례 활용 ‘1호 기업’이 됐다. 10일 고용노동부에 따르면 삼성전자는 전일 특별연장근로 특례 인가를 받았다. 지난달 특례 시행 ...,서울경제,https://v.daum.net/v/20250410181308962
2025.04.10,"'K휴머노이드 연합' 출범…""테슬라봇과 경쟁""",정부 및 학계와 로봇 제조기업 50여 곳이 참여하는 ‘K-휴머노이드 연합’이 10일 출범했다. 인간형 로봇인 휴머노이드를 연구하고 생산하는 생태계를 키워 조만간 열릴 ‘1가구 1휴머노이드 시장’을 선점하려는 의도다. ...,한국경제,https://v.daum.net/v/20250410181307961
2025.04.10,철강·車 등 韓 수출 주력품목 여전히 25% 관세…반도체도 사정권,미국이 중국을 제외한 70여 개국에 개별 상호관세 부과를 유예하면서 한국산 수출품에는 10% 기본 상호관세와 앞서 시행된 철강·알루미늄·자동차 품목 관세(25%)만 부과되고 있다. 특히 40% 안팎의 고율 관세가 예 ...,한국경제,https://v.daum.net/v/20250410181202929
2025.04.10,`반도체 연구개발` 특별연장근로 확대 첫 인가…삼성전자,정부가 지난 달 반도체 연구개발직에 대해 특별연장 근로를 한 번에 최대 6개월까지 허용한 지침을 시행한 후 첫 인가 사례가 나왔다. 10일 고용노동부에 따르면 고용부 경기지청은 전날 삼성전자의 특별연장 근로 신청을 ...,디지털타임스,https://v.daum.net/v/20250410181049877
2025.04.10,"中 빠진 美 시장서 韓 반사이익… 글로벌선 中 물량공세 우려 [美, 상호관세 유예]","도널드 트럼프 미국 대통령이 90일간의 상호관세 유예 조치를 전격 발표하면서, 국내 기업은 한숨을 돌렸다. 중국산 제품에 대한 관세율은 되레 125%로 상향되면서 중국 업체, 중국에 공장을 둔 미국 업체와의 미국 시 ...",세계일보,https://v.daum.net/v/20250410180255558
2025.04.10,"삼성·LG, '프리미엄 TV 선두' 신경전…무슨 차이길래",[서울=뉴시스]이현주 기자 = 프리미엄 TV 시장을 둘러싼 삼성전자와 LG전자의 경쟁이 갈수록 치열해지고 있다. 삼성전자가 최근 공개석상에서 국내 대형 올레드(OLED·유기발광다이오드) 시장 점유율이 60%를 넘어섰 ...,뉴시스,https://v.daum.net/v/20250410180015481
2025.04.10,'트럼프 관세' 유예에 코스피 6% 급등…2440선 단숨에 회복,"미국의 상호관세 부과 유예 소식이 전해진 10일 국내 금융시장은 환호했다. 전날 약 17개월 만에 2,300선이 붕괴됐던 코스피는 6% 넘게 올라 2,440선을 회복했고, 심리적 마지노선인 1,500원을 위협했던 원 ...",한국일보,https://v.daum.net/v/20250410175838410
2025.04.10,"대만 간 최태원 'HBM 삼각동맹' 강화···""왕좌 지킨다""",[서울경제] 최태원 SK그룹 회장이 대만 TSMC를 찾아 인공지능(AI) 반도체 고대역폭메모리(HBM) 분야 협력을 다짐했다. 세계 최고 AI칩 설계사 엔비디아와 밀월 관계를 유지 중인 SK가 TSMC와도 끈끈한 우 ...,서울경제,https://v.daum.net/v/20250410175245225
2025.04.10,"""관세폭탄 피했다"" 아시아 증시 안도 랠리",도널드 트럼프 미국 대통령이 전격적으로 상호관세를 90일간 유예하겠다고 발표하자 아시아 증시가 일제히 환호했다. 특히 상호관세 문제가 불거진 후 20% 이상 급락한 반도체 등 ‘관세 피해주’가 일제히 크게 반등했다. ...,한국경제,https://v.daum.net/v/20250410174713036
2025.04.10,"엔비디아 H20 中수출길 열렸다···삼성·SK, 일단 '안도'",[서울경제] 미국 정부가 엔비디아 인공지능(AI) 칩 ‘H20’에 대한 중국 수출 제한 계획을 철회했다. 미국의 대중 수출 제재로 AI 칩과 결합하는 고대역폭메모리(HBM)를 독자적으로 중국에 수출할 수 없는 국내 ...,서울경제,https://v.daum.net/v/20250410174024822
2025.04.10,"삼성전자 노사, 성과급 제도 개선을 위한 TF 첫 가동","(시사저널=송응철 기자) 삼성전자 성과급 제도 개선을 위한 노사 태스크포스(TF)가 첫 가동을 했다. 10일 업계에 따르면, 삼성전자 최대 노조인 전국삼성전자노동조합(전삼노)은 전날 경기 기흥캠퍼스 나노파크에서 사측 ...",시사저널,https://v.daum.net/v/20250410173333614
2025.04.10,"정부·이통3사·문자사업자, 불법 스팸 대책회의…“향후 대응체계 논의”","정부 부처와 이동통신 3사, 대량문자 사업자 등이 모여 불법스팸의 현황을 공유하고 향후 대응체계 등을 논의했다. 방송통신위원회와 과학기술정보통신부는 10일 서울 ENA 호텔에서 ‘불법스팸 대응 민관 협의체 제2차 전 ...",쿠키뉴스,https://v.daum.net/v/20250410172506337
2025.04.10,"""줍줍해서 꿀꺽"" 간 큰 개미 웃었다…돌아온 외인, 코스피 6% 급반등",간밤 도널드 트럼프 미국 대통령의 상호관세 90일 유예 발표로 뉴욕증시가 폭등하자 국내 증시에도 긍정적인 영향을 미쳤다. 10일 외국인 투자자가 10거래일만에 코스피 시장에서 순매수세로 전환하며 코스피가 2400선을 ...,머니투데이,https://v.daum.net/v/20250410172141247
2025.04.10,"삼성전자 노사, 성과급 TF 가동‥상반기 내 개선안 마련",삼성전자 노사가 성과급 제도 개선을 위한 TF 회의를 개최했습니다. 전국삼성전자노동조합은 어제 이현국 전삼노 위원장 직무대행을 포함한 노조 측 4명과 사측 4명이 모여 킥오프 회의를 진행했다고 밝혔습니다. 성과급 개 ...,MBC,https://v.daum.net/v/20250410171806129
2025.04.10,관세 유예에 코스피·코스닥 6% 급등…매수 사이드카,"[앵커] 오늘(10일) 코스피가 하루 만에 6% 넘게 반등하며 2,440선을 회복했습니다. 급등세에 오전 장중에는 매수 사이드카까지 발동됐는데요. 미국의 상호관세 부과 유예 소식과 함께 투자심리가 일부분 회복되면서 ...",연합뉴스TV,https://v.daum.net/v/20250410171720083
2025.04.10,"SK하이닉스, 사상 첫 D램 세계 1위 비결…뚝심·기술력이 빚은 HBM",(서울=뉴스1) 박주평 기자 = SK하이닉스(000660)가 D램 시장에서 33년간 왕좌를 지킨 삼성전자(005930)를 밀어내면서 그 배경이 주목받고 있다. 메모리 성능의 한계를 돌파하기 위해 기존의 집적도를 높이 ...,뉴스1,https://v.daum.net/v/20250410171538024
2025.04.10,"美관세 유예에 외국인 컴백…코스피 6% 급반등 2,440대 복귀(종합2보)","(서울=연합뉴스) 조민정 기자 = 코스피가 10일 미국의 상호관세 90일 유예에 안도하며 6% 넘게 올라 2,440대에 복귀했다. 강경 일변도였던 도널드 트럼프 미국 대통령이 중국 외 국가에 대한 상호관세를 유예하고 ...",연합뉴스,https://v.daum.net/v/20250410171029824
